ID,Title,Assigned_Categories
1,Comparison of succinylcholine with two doses of rocuronium using a new method of monitoring neuromuscular block at the laryngeal muscles by surface laryngeal electromyography.,"Clinical & Diagnostic, Neurophysiology"
2,The influence of experimental muscle pain on motor unit activity during low-level contraction.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
3,Muscle activation in therapeutic exercises to improve trunk stability.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
4,EMG-based prediction of shoulder and elbow kinematics in able-bodied and spinal cord injured individuals,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
5,Electromyogram changes during sustained contraction after resistance training in women in their 3rd and 8th decades.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
6,Effects of body-mind training and relaxation stretching on persons with chronic toxic encephalopathy.,"Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
8,Noninvasive estimation of motor unit conduction velocity distribution using linear electrode arrays,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
9,Anticipatory postural adjustments depend on final equilibrium and task complexity in vertical high jump movements.,"Biomechanics & Kinematics, Neurophysiology"
10,Propagation disturbance of motor unit action potentials during transient paresis in generalized myotonia: a high-density surface EMG study.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
11,Concentric-ring electrode systems for noninvasive detection of single motor unit activity,Neurophysiology
12,Facial electromyographic (EMG) responses to emotionally significant visual images: differences between light and heavy drinkers.,Other / General
13,The effects of a weight belt on trunk and leg muscle activity and joint kinematics during the squat exercise.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
14,Anticipatory and reflexive neck muscle activities during voluntary rapid jaw opening and passive jaw depression in humans.,"Biomechanics & Kinematics, Neurophysiology"
15,Effects of posture on dynamic back loading during a cable lifting task.,"Biomechanics & Kinematics, Neurophysiology"
