ID,Title,Abstract,Year,Database,Journal,Screening_Reason,Sample_Size,Gender_Details,Age_Details,Race_Ethnicity_Details,Country_of_Study,Extraction_Notes,Assigned_Categories,Pediatrics (<=18),Young Adult (19-35),Middle-aged (36-60),Senior/Elderly (>60),Not Reported,Age Diversity Index
1,Comparison of succinylcholine with two doses of rocuronium using a new method of monitoring neuromuscular block at the laryngeal muscles by surface laryngeal electromyography.,"We compared the onset of neuromuscular block with succinylcholine (1 mg kg-1) and two doses of rocuronium (0.6 and 0.9 mg kg-1) at the adductor pollicis muscle using electromyography (EMG) and acceleromyography (AMG), and at the adductor laryngeal muscles with a new electromyographic method using a disposable surface electrode attached to the cuff of a tracheal tube. At the larynx, the mean (+/- SD) time to 90% block and the onset time of succinylcholine (38 +/- 15 and 47 +/- 19 s, respectively) were significantly shorter (P < 0.01) than for rocuronium 0.6 mg kg-1 (92 +/- 42 and 106 +/- 38 s) and rocuronium 0.9 mg kg-1 (52 +/- 31 and 64 +/- 30 s). We found that, with comparable degrees of neuromuscular block, the onset time of succinylcholine at the adductor pollicis was significantly shorter (P < 0.01) than for rocuronium 0.6 mg kg-1 and 0.9 mg kg-1 (EMG, 80 +/- 39 vs 145 +/- 48 s and 99 +/- 31 s; AMG, 90 +/- 39 vs 124 +/- 53 s and 106 +/- 38 s). Clinical duration at the adductor pollicis (AMG) was significantly longer (P < 0.01) for both rocuronium groups than for succinylcholine (T4:T1 = 0.7, 54 +/- 18 and 77 +/- 21 vs 8 +/- 6 min). The surface laryngeal electrode proved non-invasive, easy to use and reliable in measuring onset of the neuromuscular block at the larynx.",2000,PubMed,British Journal of Anaesthesia,The study is a primary empirical investigation from 2000 involving human participants and utilizes surface EMG as a core data collection modality to compare neuromuscular blocking agents.,90,"29 Males, 61 Females","Mean 52 (SD 15) years, range 20-81",Not reported,Germany,"Demographic information was found in the 'Results' section, specifically in Table 1 which details the physical characteristics for the total sample of 90 patients. The country of study was identified from the authors' affiliation with the University of Erlangen, Nuremberg, Germany.","Clinical & Diagnostic, Neurophysiology",0,1,1,1,0,61
2,The influence of experimental muscle pain on motor unit activity during low-level contraction.,"In the present study we compared motor unit (MU) activity in a painful extensor carpi ulnaris (ECU) muscle to that of a pain-free control. According to the pain adaptation model the activity of the painful ECU muscle may be inhibited and its antagonist activity increased during wrist extension performed as a pre-defined low-force ramp. The pre-defined low force may then be maintained by increased activity in the pain-free synergist muscles such as the extensor carpi radialis (ECR) muscle. Nine females (31-47 years old) participated in the study. Maximal voluntary contraction (MVC) of the wrist extensors was performed. A catheter was inserted into the ECU muscle to allow the injection of hypertonic saline to evoke muscle pain, and a concentric needle was inserted for the recording of MU activity. Surface electromyograms were recorded from a synergist and an antagonist (ECR and flexor carpi radialis) to the painful ECU muscle. A force ramp of isometric wrist extensions up to 10% MVC, with a force increase of 1% MVC x s(-1), were performed followed by 60 s of sustained contraction at 10% MVC. The number of MUs recruited was almost identical for baseline and with pain, and no effect of experimental muscle pain was found on the properties of the MUs (amplitude, area) or their firing characteristics (mean firing rate, firing variability) during low-force ramp contraction. During the sustained 10% MVC, no effect of pain was found for concentric or surface EMG of the forearm muscles. At low force levels no pain-induced modulations were found in MU activity, when the mechanical condition was similar to that of a control situation.",2000,PubMed,European Journal of Applied Physiology,The study is a primary empirical investigation of motor unit activity in human participants using both surface and intramuscular EMG as core data collection modalities and was published in 2000.,9,9 females,"mean age 23 years, range: 21-34 years",Not reported,Denmark,"Participant demographic data was located in the abstract and in the 'Subjects' subsection of the 'Methods' section. The study began with ten participants, but one was excluded, resulting in a final sample of nine.","Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,13
3,Muscle activation in therapeutic exercises to improve trunk stability.,"OBJECTIVE: To evaluate the relative activation amplitudes from 3 abdominal and 2 trunk extensor muscle sites in healthy subjects performing the pelvic tilt, abdominal hollowing, and level 1 of the trunk stability test (TST level 1) exercises and to compare the activation amplitudes among muscle sites and exercises. DESIGN: Prospective comparative study. SETTING: Motion Analysis Research Center, Dalhousie University, Canada. PARTICIPANTS: Twenty-four healthy men (mean age, 30 +/- 8.1 yr [SD]) without low back pain. INTERVENTIONS: Subjects performed 3 exercises in a balanced order, repeating each exercise 5 times while surface electromyography (EMG) was recorded from the 5 muscle sites. Exercises were divided into 2 phases: movement and stabilization. The root-mean-square amplitude of the EMG for each phase was calculated and normalized to the maximal voluntary isometric contraction (MVIC) amplitude for each muscle. A 2-factor repeated-measures analysis of variance (ANOVA) tested the muscle by exercise interaction and the main effects for each phase separately. MAIN OUTCOME MEASURES: Normalized activation amplitude was the main dependent variable. Ensemble-average curves were calculated to examine the phasing of activation. RESULTS: ANOVA showed a statistically significant interaction (p < .05) for both phases, indicating the 3 exercises recruited the 5 muscle sites using different patterns of relative activation. The external oblique (EO) muscle site was activated to higher amplitudes than the other 4 sites in all 3 exercises for both phases. The highest activity was recorded from the EO during the pelvic tilt, just more than 25% of MVIC. The only exercise to recruit the erector spinae to significantly higher amplitudes than the multifidus site was the TST level 1. CONCLUSIONS: Study exercises were not interchangeable for the patterns of trunk muscle activation amplitudes. The exercises did not recruit the abdominal muscles to adequate levels for strengthening for this healthy sample; however, all 5 muscle sites were activated, forming the basis of a stabilizing exercise approach.",2000,PubMed,Archives of Physical Medicine and Rehabilitation,"This is a primary empirical study that used surface EMG as a core modality to collect original data on human participants, published in a peer-reviewed English journal in the year 2000.",24,24 men,"Mean 32 ± 8.1 years, range 20-54 years",Not reported,Canada,"Participant demographics including sample size, gender, and age were detailed in the abstract's 'Participants' section and the main body's 'Subjects' and 'Results' sections. Race and ethnicity information were not reported.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,1,0,0,34
4,EMG-based prediction of shoulder and elbow kinematics in able-bodied and spinal cord injured individuals,"The authors have evaluated the ability of a time-delayed artificial neural network (TDANN) to predict shoulder and elbow motions using only electromyographic (EMG) signals recorded from six shoulder and elbow muscles as inputs, both in able-bodied subjects and in subjects with tetraplegia arising from C5 spinal cord injury. For able-bodied subjects, all four joint angles (elbow flexion-extension and shoulder-horizontal flexion-extension, elevation depression, and internal-external rotation) were predicted with average root-mean-square (rms) errors of less than 20/spl deg/ during movements of widely different complexities performed at different speeds and with different hand loads. The corresponding angular velocities and angular accelerations were predicted with even lower relative errors. For individuals with C5 tetraplegia, the absolute rms errors of the joint angles, velocities, and accelerations were actually smaller than for able-bodied subjects, but the relative errors were similar when the smaller movement ranges of the C5 subjects were taken into account. These results indicate that the EMG signals from shoulder and elbow muscles contain a significant amount of information about arm movement kinematics that could be exploited to develop advanced control systems for augmenting or restoring shoulder and elbow movements to individuals with tetraplegia using functional neuromuscular stimulation of paralyzed muscles.",2000,IEEE,IEEE Transactions on Rehabilitation Engineering,"This is an empirical study that collected raw data from real human subjects (6 healthy individuals and 2 patients with spinal cord injuries), and is not a review or pure simulation.",8,"7 Males, 1 Female",ages between 24 and 38,Not reported,USA,"Found in 'Experimental Protocol - Subjects' section. Gender and age were reported, but no mention of race, ethnicity, or skin color.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology",0,1,1,0,0,14
5,Electromyogram changes during sustained contraction after resistance training in women in their 3rd and 8th decades.,"The present study aimed at investigating the neuromuscular adaptations to 6 weeks of resistance training in women in their third (6 experimental, 8 controls) and eighth decades (8 experimental, 8 controls). The surface electromyogram (sEMG) was measured from the biceps brachii muscle during constant-force isometric contractions lasting 12 s at 80% of maximal voluntary contraction (MVC). All the signals were analysed adopting in the time domain the root mean square (RMS) as a measure of amplitude and in the frequency domain the median frequency (MDF) of the power spectrum. Quantitative analysis was performed from the 3rd to the 6th second, to describe the early phase of the contraction (""Early""), starting from point at which 80% of the MVC was reached, and from the 9th to the 12th second, to describe the last part of the constant-force sustained contraction (""Late""). After training, the MVC increased by 22.4% in the young (P < 0.0001) and by 13.4% in the older (P < 0.05) women. The ""Early"" RMS increased by 60.4% with respect to the pre-training condition in the young (P < 0.01) but not in the older women. In contrast, the ""Late"" RMS increased by 46.7% in the older (P < 0.05) but not in the young women. The MDF remained unchanged in both groups. These results indicate that young and older women showed different training-induced adaptation of the motor unit (MU) activation pattern, in order to keep a constant level of force during a sustained isometric contraction at 80% of MVC.",2000,PubMed,European Journal of Applied Physiology,"The study is primary empirical research using sEMG as a core modality to investigate the effects of resistance training in human participants, published in English in the year 2000.",31,All participants were female.,"The study included a young group (age range 18-50 years) and an older group (age range 70-78 years). Mean (SD) ages for subgroups were: Control Young 22 (4) years, Training Young 21 (4) years, Control Older 71 (4) years, and Training Older 74 (2) years.",Not reported,UK (Scotland),"Participant demographic data is located in the 'Methods' section under the 'Subjects' subsection and in Table 1. The study explicitly states all participants were female and provides age ranges and subgroup means, but does not mention race or ethnicity.","Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics",1,1,1,1,0,60
6,Effects of body-mind training and relaxation stretching on persons with chronic toxic encephalopathy.,"The purpose of this project was to investigate the psychological and physical effects of training of body awareness and slow stretching on persons with chronic toxic encephalopathy (CTE). In the present study, a method of self-regulation, a body-mind training, is presented. The body-mind training used was a guided relaxation technique combined with meditative stretching. The techniques are introduced and the psychological and physiological effects of the training is presented. Eight subjects with CTE, 48.5 years, were trained for 8 weeks. Outcome measures were percentage alpha brain waves (alpha%), electromyography (EMG) on the frontalis muscle, state-trait anxiety (STAI), creativity (RAT), and mood measured as anxiousness, humour and mental fatigue. The mean alpha% increased 52% during the training period (P < 0.01), and the EMG decreased 31% (P < 0.001. State anxiety decreased 22% during the training period (P < 0.01), but no changes were observed in trait anxiety and in the creativity score. The level of anxiousness and fatigue before a training session decreased during the training period. In conclusion, the body-mind training resulted in an improved ability for physical and mental relaxation as indicated from the lower EMG, the higher alpha% and the decrease in state anxiety.",2000,PubMed,Patient Education and Counseling,"The study is a primary empirical investigation on human participants, published in English in the year 2000, and uses EMG as a core physiological outcome measure to assess the effects of a body-mind intervention.",8,three women and five men,Mean 48.5 ± 3.9 years,Not reported,Denmark,"Participant demographic information was located in the '2. Methods' section of the paper. The number of subjects, gender breakdown, and age details were explicitly stated at the beginning of this section.","Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics",0,0,1,0,0,7.8
8,Noninvasive estimation of motor unit conduction velocity distribution using linear electrode arrays,"Determining the conduction velocity of motor unit action potentials is one of the most important problems in surface electromyography. The estimate of one average conduction velocity value depends on a variety of uncontrollable factors. More meaningful information is obtained from the estimation of the distribution of the different delays in the myoelectric signals. A solution to the problem is the separation and characterization of the individual components propagating at different velocities. A technique, based on surface electrode array recording, is proposed to estimate motor unit conduction velocity distribution. The method consists in the identification of the single action potentials in the time scale domain (with the continuous wavelet transform) and in the estimation of their conduction velocities based on the beamforming algorithm. The performances of the technique have been evaluated using simulated and real myoelectric signals. The results demonstrate that the technique Is accurate and reliable. The method may be useful for the diagnosis of neuromuscular disorders, for the monitoring of muscle fatigue and for noninvasive investigation of individual motor units.",2000,IEEE,IEEE Transactions on Biomedical Engineering,"This is a primary empirical study from 2000, published in English, that develops and validates a new surface EMG analysis method using original data collected from human participants.",1,Not reported,Not reported,Not reported,Italy,"The paper demonstrates the technique using data from 'a normal subject' and 'a healthy subject', indicating one human participant for the real signal portion of the study. This is mentioned in the Results section and figure captions, but no specific demographic details (age, gender, ethnicity) are provided.","Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics",0,0,0,0,1,N/A
9,Anticipatory postural adjustments depend on final equilibrium and task complexity in vertical high jump movements.,"Anticipatory postural adjustments (APA) associated with high vertical jumping were studied in five normal men. The dependence of APA on final equilibrium and task complexity was studied by analyzing the characteristics of single versus repetitive jumps. Subjects performed series of 25 single jumps and 25 repetitive jumps on a force platform, in response to a Go signal. Surface EMG from the Soleus (SO), Tibialis anterior (TA), Vastus lateralis (VL) and Biceps femoris (BF) muscles were recorded simultaneously with the three components of the ground reaction forces. The existence of APA associated with both single and repetitive jumps was evidenced by a backward shift of the center of pressure, an SO deactivation, and a TA activation which preceded the onset of movement by hundreds of milliseconds. In repetitive jumps, SO deactivation occurred later than in single jump, whereas the center of pressure shift started earlier, lasted longer and had a greater amplitude. Moreover, repetitive jumps were initiated later with respect to the Go signal. These data show that the central nervous system anticipates not only the equilibrium disturbance caused by an initial movement but that caused by a whole sequence of movements. They also show that the corresponding APA are based heavily on a single functional ankle synergy.",2000,PubMed,Journal of Electromyography and Kinesiology,The study is primary empirical research on human subjects from 2000 that uses surface EMG as a core data collection modality to investigate muscle activity during jumping.,5,ﬁve male subjects,ranging in age from 22 to 29 years,Not reported,France,"The number of participants, their gender, and age range were explicitly stated in the first paragraph of the '2. Materials and methods' section. Race and ethnicity were not reported.","Biomechanics & Kinematics, Neurophysiology",0,1,0,0,0,7
10,Propagation disturbance of motor unit action potentials during transient paresis in generalized myotonia: a high-density surface EMG study.,"Patients with autosomal recessive generalized myotonia, or Becker's disease, often suffer from a peculiar transient paresis. As yet, the relationship between this transient paresis and the defect in the gene encoding for a voltage gated Cl- channel protein in the muscle membrane of these patients is unclear. In order to gain a better understanding of the electrophysiological properties of the muscle fibre membrane in these generalized myotonia patients, we have studied transient paresis with a novel high-density surface EMG (sEMG) technique. We conclude that the transient paresis is explained by a deteriorating muscle membrane function, ending in conduction block and paresis. Multi-channel sEMG during the period of force decline in transient paresis shows a decrease in peak-peak amplitude of the motor unit action potentials from endplate towards tendon. This disturbance increases with time and place, indicating a deteriorating membrane function, and ends in a complete blocking of propagation within seconds. Spatiotemporally, this leads to a V-shaped sEMG pattern. In a more general sense, this contribution shows how spatiotemporal information, available through non-invasive high-density sEMG, may provide novel insights into electrophysiological aspects of membrane dysfunction.",2001,PubMed,Brain,"This is a primary empirical research article from 2001 investigating muscle electrophysiology in human patients and controls using high-density surface EMG as the core methodology, meeting all inclusion criteria.",12,"Patients (n=7): 5 males, 2 females. Normal subjects (n=5): 4 males, 1 female.",Patients (n=7): Mean age 38 years (range 22-57 years). Normal subjects (n=5): Mean age 39 years (range 22-64 years).,Not reported,The Netherlands,"All demographic data was located in the 'Subjects and methods' section, under the 'Patients and normal subjects' subsection, providing a clear breakdown for both patient and control groups.","Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology",0,1,1,1,0,42
11,Concentric-ring electrode systems for noninvasive detection of single motor unit activity,"New recording techniques for detecting surface electromyographic (EMG) signals based on concentric-ring electrodes are proposed in this paper. A theoretical study of the two-dimensional (2-D) spatial transfer function of these recording systems is developed both in case of rings with a physical dimension and in case of line rings. Design criteria for the proposed systems are presented in relation to spatial selectivity. It is shown that, given the radii of the rings, the weights of the spatial filter can be selected in order to improve the rejection of low spatial frequencies, thus increasing spatial selectivity. The theoretical transfer functions of concentric systems are obtained and compared with those of other detection systems. Signals detected with the ring electrodes and with traditional one-dimensional and 2-D systems are compared. The concentric-ring systems show higher spatial selectivity with respect to the traditional detection systems and reduce the problem of electrode location since they are invariant to rotations. The results shown are very promising for the noninvasive detection of single motor unit (MU) activities and decomposition of the surface EMG signal into the constituent MU action potential trains.",2001,IEEE,IEEE Transactions on Biomedical Engineering,"The study presents the development and validation of a new surface EMG electrode system, including the collection of original experimental data from human participants, which satisfies all inclusion criteria.",1,Not reported,Not reported,Not reported,Italy,"The paper describes an experimental validation phase with human participants but fails to report any demographic data, including sample size, age, or gender. The country of study is inferred from the authors' primary affiliation with Politecnico di Torino, Italy.",Neurophysiology,0,0,0,0,1,N/A
