ID,Title,Year,Database,Journal,demographic_relevance,demographic_relevance_label,demographic_relevance_variables,demographic_relevance_rationale
2,The influence of experimental muscle pain on motor unit activity during low-level contraction.,2000,PubMed,European Journal of Applied Physiology,1,Demographic variables used as eligibility or control factors,sex/gender; age,Demographic variables (sex and age) were used as inclusion restrictions but were not the primary research question; the study focused on muscle pain effects on motor unit activity.
3,Muscle activation in therapeutic exercises to improve trunk stability.,2000,PubMed,Archives of Physical Medicine and Rehabilitation,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study limited participants to healthy men and reported their mean age, but sex and age were not central research questions; they served as inclusion criteria."
9,Anticipatory postural adjustments depend on final equilibrium and task complexity in vertical high jump movements.,2000,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,sex/gender,"The abstract specifies participants were 'five normal men', indicating sex is used as a sample restriction but not as a primary exposure or central study objective."
13,The effects of a weight belt on trunk and leg muscle activity and joint kinematics during the squat exercise.,2001,PubMed,The Journal of Strength and Conditioning Research,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricted participation to men, using sex as an eligibility criterion, but sex is not a central research question or comparison factor."
15,Effects of posture on dynamic back loading during a cable lifting task.,2002,PubMed,Ergonomics,1,Demographic variables used as eligibility or control factors,sex/gender,"The study used sex as an inclusion criterion by recruiting only male subjects, but sex was not a central research objective."
17,The effect of foot placement on sit to stand in healthy young subjects and patients with hemiplegia.,2002,PubMed,Archives of Physical Medicine and Rehabilitation,1,Demographic variables used as eligibility or control factors,age,"The study restricts the healthy group to young subjects, using age as an eligibility criterion, but the primary objective is the effect of foot placement, not age comparison."
19,A comparative electromyographical investigation of muscle utilization patterns using various hand positions during the lat pull-down.,2002,PubMed,The Journal of Strength and Conditioning Research,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricted participants to men, using sex as an inclusion criterion, but the central objective was comparing hand positions, not demographic differences."
21,Improving elbow torque output of stroke patients with assistive torque controlled by EMG signals.,2003,PubMed,Journal of Biomechanical Engineering,1,Demographic variables used as eligibility or control factors,,"The study compares stroke patients and able-bodied individuals to evaluate the assistive system, but demographic differences are not the central research question."
24,Simultaneous feedforward recruitment of the vasti in untrained postural tasks can be restored by physical therapy.,2003,PubMed,Journal of Orthopaedic Research,1,Demographic variables used as eligibility or control factors,sex/gender; age,Age and sex are used as inclusion criteria but are not the central focus; the study examines physical therapy effects on muscle recruitment timing.
29,Repeated spinal flexion modulates the flexion-relaxation phenomenon.,2003,PubMed,Clinical Biomechanics,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,Age is used as an inclusion criterion (young subjects) but is not a primary comparison factor; other demographic variables are absent or only described.
