value,count,percentage
United States,66,17.51
China,45,11.94
Canada,26,6.90
Italy,25,6.63
Japan,21,5.57
Germany,18,4.77
United Kingdom,16,4.24
Brazil,15,3.98
Denmark,15,3.98
Australia,12,3.18
India,11,2.92
Spain,11,2.92
The Netherlands,11,2.92
Taiwan,9,2.39
Finland,6,1.59
France,5,1.33
New Zealand,5,1.33
Republic of Korea,5,1.33
Iran,3,0.80
Norway,3,0.80
South Korea,3,0.80
Switzerland,3,0.80
Thailand,3,0.80
Belgium,2,0.53
Croatia,2,0.53
Egypt,2,0.53
Hong Kong,2,0.53
Iceland,2,0.53
Israel,2,0.53
Korea,2,0.53
Poland,2,0.53
Singapore,2,0.53
Slovenia,2,0.53
Turkey,2,0.53
Argentina,1,0.27
"Australia, Canada",1,0.27
CANADA,1,0.27
Chile,1,0.27
Czech Republic,1,0.27
"Germany, Finland, Russia",1,0.27
Greece,1,0.27
Holland,1,0.27
"Hong Kong, China",1,0.27
Ireland,1,0.27
"Italy, Sweden",1,0.27
Not reported,1,0.27
Russia,1,0.27
South Africa,1,0.27
Sweden,1,0.27
"The Johns Hopkins University, USA, and Kyoto University, Japan",1,0.27
"The Netherlands, Belgium",1,0.27
UK (Scotland),1,0.27
