value,count,percentage
IEEE Transactions on Neural Systems and Rehabilitation Engineering,43,11.41
Journal of Electromyography and Kinesiology,23,6.10
IEEE Transactions on Biomedical Engineering,19,5.04
European Journal of Applied Physiology,12,3.18
IEEE Transactions on Instrumentation and Measurement,10,2.65
Clinical Biomechanics,8,2.12
IEEE Access,8,2.12
Gait &amp; Posture,7,1.86
IEEE Sensors Journal,6,1.59
Journal of Strength and Conditioning Research,6,1.59
Journal of Oral Rehabilitation,5,1.33
The Journal of Strength and Conditioning Research,5,1.33
Archives of Physical Medicine and Rehabilitation,4,1.06
Journal of Bodywork and Movement Therapies,4,1.06
Journal of Neurophysiology,4,1.06
Medicine &amp; Science in Sports &amp; Exercise,4,1.06
Muscle &amp; Nerve,4,1.06
Clinical Neurophysiology,3,0.80
Clinical neurophysiology,3,0.80
European Journal of Neurology,3,0.80
IEEE Journal of Biomedical and Health Informatics,3,0.80
IEEE Robotics and Automation Letters,3,0.80
IEEE Sensors Letters,3,0.80
IEEE Transactions on Human-Machine Systems,3,0.80
Journal of Applied Physiology,3,0.80
Journal of NeuroEngineering and Rehabilitation,3,0.80
Journal of Voice,3,0.80
PLOS ONE,3,0.80
PeerJ,3,0.80
Sensors,3,0.80
The Laryngoscope,3,0.80
Annals of Biomedical Engineering,2,0.53
BMC Musculoskeletal Disorders,2,0.53
BioMed Research International,2,0.53
Dysphagia,2,0.53
Ergonomics,2,0.53
Gait & posture,2,0.53
IEEE transactions on neural systems and rehabilitation engineering,2,0.53
International Journal of Environmental Research and Public Health,2,0.53
International Journal of Psychophysiology,2,0.53
Journal of Biomechanical Engineering,2,0.53
Journal of Neuroscience Methods,2,0.53
Journal of Orthopaedic Research,2,0.53
Journal of Sports Science and Medicine,2,0.53
Journal of oral rehabilitation,2,0.53
Manual Therapy,2,0.53
Physical Therapy,2,0.53
Physiotherapy Theory and Practice,2,0.53
Scientific Reports,2,0.53
Scientific reports,2,0.53
Spinal Cord,2,0.53
2019 IEEE 16th International Conference on Rehabilitation Robotics (ICORR),1,0.27
"A system for electromyographic (EMG) triggering of robot-assisted therapy (dubbed the EMG game) for stroke patients is presented. The onset of a patient's attempt to move is detected by monitoring EMG in selected muscles, whereupon the robot assists her or him to perform point-to-point movements in a horizontal plane. Besides delivering customized robot-assisted therapy, the system can record signals that may be useful to better understand the process of recovery from stroke. Preliminary experiments aimed at testing the proposed system and gaining insight into the potential of EMG-triggered, robot-assisted therapy are reported.",1,0.27
American Journal of Otolaryngology,1,0.27
Annals of Surgery,1,0.27
Annals of clinical and translational neurology,1,0.27
Applied Ergonomics,1,0.27
"Applied Physiology, Nutrition, and Metabolism",1,0.27
Applied psychophysiology and biofeedback,1,0.27
Archives of Gynecology and Obstetrics,1,0.27
Archives of physical medicine and rehabilitation,1,0.27
Biological Psychology,1,0.27
Biotechnology and Applied Biochemistry,1,0.27
Brain,1,0.27
Brain Research,1,0.27
British Journal of Anaesthesia,1,0.27
Cancer Nursing,1,0.27
Chemical Senses,1,0.27
Clinical Interventions in Aging,1,0.27
Clinical Oral Investigations,1,0.27
Clinical Physiology and Functional Imaging,1,0.27
Clinical Rehabilitation,1,0.27
Clinical biomechanics,1,0.27
Complementary Therapies in Medicine,1,0.27
Developmental Science,1,0.27
Diabetes Research and Clinical Practice,1,0.27
Drug and Alcohol Dependence,1,0.27
European Journal of Neuroscience,1,0.27
European Journal of Pediatrics,1,0.27
European journal of applied physiology,1,0.27
European journal of oral sciences,1,0.27
Experimental Brain Research,1,0.27
Experimental Neurology,1,0.27
