"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Independence of myoelectric control signals examined using a surface EMG model","M. M. Lowery; N. S. Stoykov; T. A. Kuiken","Department of Physical Medicine and Rehabilitation, Northwestern University, Evanston, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Evanston, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Evanston, IL, USA",IEEE Transactions on Biomedical Engineering,"11 Jun 2003","2003","50","6","789","793","The detection volume of the surface electromyographic (EMG) signal was explored using a finite-element model, to examine the feasibility of obtaining independent myoelectric control signals from regions of reinnervated muscle. The selectivity of the surface EMG signal was observed to decrease with increasing subcutaneous fat thickness. The results confirm that reducing the interelectrode distance or using double-differential electrodes can increase surface EMG selectivity in an inhomogeneous volume conductor. More focal control signals can be obtained, at the expense of increased variability, by using the mean square value, rather than the root mean square or average rectified value.","1558-2531","","10.1109/TBME.2003.812152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1203819","","Electromyography;Muscles;Finite element methods;Crosstalk;Electrodes;Prosthetics;Skin;Biomedical engineering;Analytical models;Conductors","Action Potentials;Adipose Tissue;Arm;Artifacts;Bone and Bones;Electrodes;Electromagnetic Fields;Electromyography;Feasibility Studies;Finite Element Analysis;Humans;Models, Biological;Muscle Fibers;Muscle, Skeletal;Reproducibility of Results;Sensitivity and Specificity","48","","25","IEEE","11 Jun 2003","June 2003","","IEEE","IEEE Journals"
"Time-Varying Multicomponent Signal Modeling for Analysis of Surface EMG Data","M. Zivanovic","Electrical Engineering Department, Public University of Navarra, Pamplona, Spain",IEEE Signal Processing Letters,"2 Apr 2014","2014","21","6","692","696","We present a novel approach to surface EMG data characterization by using time-varying multicomponent signal modeling. An EMG signal is described as a set of stationary non-harmonically related sinusoids (signal components) whose time-varying bandwidth is modeled by polynomials. The polynomial coefficients, estimated from a set of linear equations, capture the relationship between the instantaneous frequency and amplitude for individual signal components. It is proposed that such a compact EMG signal modeling may be a good candidate for a number of applications in surface electromyography: compression, muscle activity detection and low-bias conduction velocity, to name a few.","1558-2361","","10.1109/LSP.2014.2313880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778792","Multicomponent signals;non-stationary signals;signal modeling;surface electromyography","Electromyography;Mathematical model;Polynomials;Surface treatment;Discrete wavelet transforms;Muscles","","9","","22","IEEE","26 Mar 2014","June 2014","","IEEE","IEEE Journals"
"Assessment of average muscle fiber conduction velocity from surface EMG signals during fatiguing dynamic contractions","D. Farina; M. Pozzo; E. Merlo; A. Bottin; R. Merletti","Center of Bioengineering, Department of Electronics, Politecnico di Torino, Torino, Italy; Center of Bioengineering, Department of Electronics, Politecnico di Torino, Torino, Italy; Center of Bioengineering, Department of Electronics, Politecnico di Torino, Torino, Italy; Center of Bioengineering, Department of Electronics, Politecnico di Torino, Torino, Italy; Center of Bioengineering, Department of Electronics, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"19 Jul 2004","2004","51","8","1383","1393","In this paper, we propose techniques of surface electromyographic (EMG) signal detection and processing for the assessment of muscle fiber conduction velocity (CV) during dynamic contractions involving fast movements. The main objectives of the study are: 1) to present multielectrode EMG detection systems specifically designed for dynamic conditions (in particular, for CV estimation); 2) to propose a novel multichannel CV estimation method for application to short EMG signal bursts; and 3) to validate on experimental signals different choices of the processing parameters. Linear adhesive arrays of electrodes are presented for multichannel surface EMG detection during movement. A new multichannel CV estimation algorithm is proposed. The algorithm provides maximum likelihood estimation of CV from a set of surface EMG signals with a window limiting the time interval in which the mean square error (mse) between aligned signals is minimized. The minimization of the windowed mse function is performed in the frequency domain, without limitation in time resolution and with an iterative computationally efficient procedure. The method proposed is applied to signals detected from the vastus laterialis and vastus medialis muscles during cycling at 60 cycles/min. Ten subjects were investigated during a 4-min cycling task. The method provided reliable assessment of muscle fatigue for these subjects during dynamic contractions.","1558-2531","","10.1109/TBME.2004.827556","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1315860","","Muscles;Electromyography;Signal detection;Signal processing;Signal design;Electrodes;Maximum likelihood estimation;Limiting;Mean square error methods;Frequency domain analysis","Adult;Algorithms;Electrodes;Electromyography;Electromyography;Equipment Design;Equipment Failure Analysis;Humans;Leg;Male;Muscle Contraction;Muscle Fatigue;Muscle Fibers;Neural Conduction;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted","116","2","46","IEEE","19 Jul 2004","Aug. 2004","","IEEE","IEEE Journals"
"Investigation of Optimum Electrode Locations by Using an Automatized Surface Electromyography Analysis Technique","K. Nishihara; H. Kawai; T. Gomi; M. Terajima; Y. Chiba","School of Health, Medical Treatment, and Social Services, Department of Physical Therapy, Saitama Prefectural University, Saitama, Japan; Department for Prevention of Dependence on Long-Term Care, Tokyo Metropolitan Institute of Gerontology, Tokyo, Japan; School of Health, Medical Treatment and Social Services Department of Physical Therapy, Saitama Prefectural University, Saitama, Japan; School of Health, Medical Treatment, and Social Services, Saitama Prefectural University, Saitama, Japan; Department of Rehabilitation Medicine, University of Tokyo, Tokyo, Japan",IEEE Transactions on Biomedical Engineering,"16 Jan 2008","2008","55","2","636","642","Identification of the innervation zone is widely used to optimize the accuracy and precision of noninvasive surface electromyography (EMG) signals because the EMG signal is strongly influenced by innervation zones. However, simply structured fusiform muscle, such as biceps brachii muscle, has been employed mainly due to the simplicity with which the propagation from raw EMG signals can be observed. In this study, the optimum electrode location (OEL), free from innervational influence, was investigated by the propagation pattern of action potentials for brachii muscles and more complicated deltoid muscle structures using an automatized signal analysis technique. The technique employed newly developed computer software with additional clinical uses and minimized subjective differences. EMG signals were recorded using surface array electrodes during voluntary isometric contractions obtained from 12 healthy male subjects. Peaks in EMG signals were detected and averaged for each muscle. The propagation patterns and OEL were examined from biceps brachii muscles for all subjects and from deltoid muscles for seven subjects. The estimated locations were partially confirmed by comparing the root mean squares of the EMG signals. These results show that propagation patterns and OEL could be estimated simply and automatically even from the surface EMG signals of deltoid muscles.","1558-2531","","10.1109/TBME.2007.912673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4432750","Electromyography (EMG);innervation zone;propagation pattern;surface array electrodes","Electrodes;Electromyography;Muscles;Medical treatment;Signal analysis;Tendons;Signal detection;Signal processing;Software;Root mean square","Action Potentials;Algorithms;Artificial Intelligence;Diagnosis, Computer-Assisted;Diagnosis, Computer-Assisted;Electrodes;Electromyography;Electromyography;Humans;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","19","","21","IEEE","16 Jan 2008","Feb. 2008","","IEEE","IEEE Journals"
"Examination of Poststroke Alteration in Motor Unit Firing Behavior Using High-Density Surface EMG Decomposition","X. Li; A. Holobar; M. Gazzoni; R. Merletti; W. Z. Rymer; P. Zhou","Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center, and TIRR Memorial Hermann Research Center, Houston, TX, USA; Faculty of Electrical Engineering and Computer Science, The University of Maribor, Maribor, Slovenia; Laboratory of Engineering of Neuromuscular System and Motor Rehabilitation, Department of Electronics, Politecnico di Torino, Torino, Italy; Laboratory of Engineering of Neuromuscular System and Motor Rehabilitation, Department of Electronics, Politecnico di Torino, Torino, Italy; Departments of Physical Medicine and Rehabilitation, Physiology, and Biomedical Engineering, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center, and TIRR Memorial Hermann Research Center, Houston, TX, USA",IEEE Transactions on Biomedical Engineering,"17 Apr 2015","2015","62","5","1242","1252","Recent advances in high-density surface electromyogram (EMG) decomposition have made it a feasible task to discriminate single motor unit activity from surface EMG interference patterns, thus providing a noninvasive approach for examination of motor unit control properties. In the current study, we applied high-density surface EMG recording and decomposition techniques to assess motor unit firing behavior alterations poststroke. Surface EMG signals were collected using a 64-channel 2-D electrode array from the paretic and contralateral first dorsal interosseous (FDI) muscles of nine hemiparetic stroke subjects at different isometric discrete contraction levels between 2 to 10 N with a 2 N increment step. Motor unit firing rates were extracted through decomposition of the high-density surface EMG signals and compared between paretic and contralateral muscles. Across the nine tested subjects, paretic FDI muscles showed decreased motor unit firing rates compared with contralateral muscles at different contraction levels. Regression analysis indicated a linear relation between the mean motor unit firing rate and the muscle contraction level for both paretic and contralateral muscles (p <; 0.001), with the former demonstrating a lower increment rate (0.32 pulses per second (pps)/N) compared with the latter (0.67 pps/N). The coefficient of variation (averaged over the contraction levels) of the motor unit firing rates for the paretic muscles (0.21 ± 0.012) was significantly higher than for the contralateral muscles (0.17 ± 0.014) (p <; 0.05). This study provides direct evidence of motor unit firing behavior alterations poststroke using surface EMG, which can be an important factor contributing to hemiparetic muscle weakness.","1558-2531","","10.1109/TBME.2014.2368514","National Institutes of Health of the U.S. Department of Health and Human Services(grant numbers:R24HD050821,R01NS080839); National Natural Science Foundation of China(grant numbers:81271658); Slovenian Research Agency(grant numbers:P2-0041); Compagnia di San Paolo; Fondazione CRT in Torino; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949607","Hemiparetic stroke;muscle weakness;high density surface EMG;decomposition;motor unit firing rate;Decomposition;hemiparetic stroke;high-density surface EMG;motor unit firing rate;muscle weakness","Muscles;Firing;Force;Electromyography;Electrodes;Indexes;Fingers","Aged;Electromyography;Female;Fingers;Humans;Male;Middle Aged;Motor Neurons;Muscle Contraction;Muscle Weakness;Paresis;Signal Processing, Computer-Assisted;Stroke","94","","67","IEEE","7 Nov 2014","May 2015","","IEEE","IEEE Journals"
"Bilinear Modeling of EMG Signals to Extract User-Independent Features for Multiuser Myoelectric Interface","T. Matsubara; J. Morimoto","Graduate School of Information Science, Nara Institute of Science and Technology, Nara, Japan; Department of Brain Robot Interface, ATR Computational Neuroscience Laboratories, Kyoto, Japan",IEEE Transactions on Biomedical Engineering,"15 Jul 2013","2013","60","8","2205","2213","In this study, we propose a multiuser myoelectric interface that can easily adapt to novel users. When a user performs different motions (e.g., grasping and pinching), different electromyography (EMG) signals are measured. When different users perform the same motion (e.g., grasping), different EMG signals are also measured. Therefore, designing a myoelectric interface that can be used by multiple users to perform multiple motions is difficult. To cope with this problem, we propose for EMG signals a bilinear model that is composed of two linear factors:1) user dependent and 2) motion dependent. By decomposing the EMG signals into these two factors, the extracted motion-dependent factors can be used as user-independent features. We can construct a motion classifier on the extracted feature space to develop the multiuser interface. For novel users, the proposed adaptation method estimates the user-dependent factor through only a few interactions. The bilinear EMG model with the estimated user-dependent factor can extract the user-independent features from the novel user data. We applied our proposed method to a recognition task of five hand gestures for robotic hand control using four-channel EMG signals measured from subject forearms. Our method resulted in 73% accuracy, which was statistically significantly different from the accuracy of standard non-multiuser interfaces, as the result of a two-sample t-test at a significance level of 1%.","1558-2531","","10.1109/TBME.2013.2250502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6472786","Electromyography (EMG);feature extraction;multiuser interface;myoelectric interface;robot hand control","Electromyography;Feature extraction;Adaptation models;Accuracy;Support vector machines;Data models;Robots","Adult;Algorithms;Computer Simulation;Electromyography;Gestures;Hand;Humans;Linear Models;Male;Man-Machine Systems;Models, Biological;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Robotics;Sensitivity and Specificity","161","1","37","IEEE","7 Mar 2013","Aug. 2013","","IEEE","IEEE Journals"
"Experimental Analysis of Accuracy in the Identification of Motor Unit Spike Trains From High-Density Surface EMG","A. Holobar; M. A. Minetto; A. Botter; F. Negro; D. Farina","Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia; Division of Endocrinology, Diabetology and Metabolism, Department of Internal Medicine, University of Turin, Turin, Italy; Laboratorio di Ingegneria del Sistema Neuromuscolare, Politecnico di Milano, Torino, Italy; Center of Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Center of Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Jun 2010","2010","18","3","221","229","The aim of this study was to compare the decomposition results obtained from high-density surface electromyography (EMG) and concurrently recorded intramuscular EMG. Surface EMG signals were recorded with electrode grids from the tibialis anterior, biceps brachii, and abductor digiti minimi muscles of twelve healthy men during isometric contractions ranging between 5% and 20% of the maximal force. Bipolar intramuscular EMG signals were recorded with pairs of wire electrodes. Surface and intramuscular EMG were independently decomposed into motor unit spike trains. When averaged over all the contractions of the same contraction force, the percentage of discharge times of motor units identified by both decompositions varied in the ranges 84%-87% (tibialis anterior), 84%-86% (biceps brachii), and 87%-92% (abductor digiti minimi) across the force levels analyzed. This index of agreement between the two decompositions was linearly correlated with a self-consistency measure of motor unit discharge pattern that was based on coefficient of variation for the interspike interval (R2 = 0.68 for tibialis anterior, R2 = 0.56 for biceps brachii, and R2 = 0.38 for abductor digiti minimi). These results constitute an important contribution to the validation of the noninvasive approach for the investigation of motor unit behavior in isometric low-force tasks.","1558-0210","","10.1109/TNSRE.2010.2041593","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5409593","Biomedical signal analysis;high-density surface electromyography (EMG);intramuscular EMG;motor unit;signal resolution","Electromyography;Electrodes;Laboratories;Wire;Signal analysis;Needles;Muscles;Surface discharges;Measurement units;Signal resolution","Action Potentials;Adult;Algorithms;Electrodes;Electromyography;Electrophysiology;Humans;Isometric Contraction;Male;Motor Neurons;Muscle Contraction;Muscle Fibers, Skeletal;Muscle, Skeletal;Reproducibility of Results","244","","21","IEEE","8 Feb 2010","June 2010","","IEEE","IEEE Journals"
"Simulation of Intramuscular EMG Signals Detected Using Implantable Myoelectric Sensors (IMES)","M. M. Lowery; R. F. Weir; T. A. Kuiken","School of Electrical, Electronic and Mechanical Engineering, University College Dublin, Dublin, Ireland; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA",IEEE Transactions on Biomedical Engineering,"18 Sep 2006","2006","53","10","1926","1933","The purpose of this study was to test the feasibility of recording independent electromyographic (EMG) signals from the forearm using implantable myoelectric sensors (IMES), for myoelectric prosthetic control. Action potentials were simulated using two different volume conductor models: a finite-element (FE) model that was used to explore the influence of the electrical properties of the surrounding inhomogeneous tissues and an analytical infinite volume conductor model that was used to estimate the approximate detection volume of the implanted sensors. Action potential amplitude increased progressively as conducting electrodes, the ceramic electrode casing and high resistivity encapsulation tissue were added to the model. For the muscle fiber locations examined, the mean increase in EMG root mean square amplitude when the full range of material properties was included in the model was 18.2% (plusmn8.15). Changing the orientation of the electrode with respect to the fiber direction altered the shape of the electrode detection volume and reduced the electrode selectivity. The estimated detection radius of the IMES electrode, assuming a cylindrical muscle cross section, was 4.8, 6.2, and 7.5 mm for electrode orientations of 0deg, 22.5deg, and 45deg with respect to the muscle fiber direction","1558-2531","","10.1109/TBME.2006.881774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703743","Detection volume;EMG;encapsulation tissue;implantable electrode;myoelectric prostheses","Electromyography;Signal detection;Electrodes;Muscles;Conductors;Testing;Prosthetics;Analytical models;Finite element methods;Iron","Action Potentials;Computer Simulation;Computer-Aided Design;Electric Stimulation;Electric Stimulation;Electrodes, Implanted;Electromyography;Electromyography;Feasibility Studies;Humans;Models, Biological;Muscle, Skeletal;Muscle, Skeletal","38","","32","IEEE","18 Sep 2006","Oct. 2006","","IEEE","IEEE Journals"
"Improving Myoelectric Control for Amputees through Transcranial Direct Current Stimulation","L. Pan; D. Zhang; X. Sheng; X. Zhu","State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University",IEEE Transactions on Biomedical Engineering,"15 Jul 2015","2015","62","8","1927","1936","Most prosthetic myoelectric control studies have shown good performance for unimpaired subjects. However, performance is generally unacceptable for amputees. The primary problem is the poor quality of electromyography (EMG) signals of amputees compared with healthy individuals. To improve clinical performance of myoelectric control, this study explored transcranial direct current stimulation (tDCS) to modulate brain activity and enhance EMG quality. We tested six unilateral transradial amputees by applying active and sham anodal tDCS separately on two different days. Surface EMG signals were acquired from the affected and intact sides for 11 hand and wrist motions in the pre-tDCS and post-tDCS sessions. Autoregression coefficients and linear discriminant analysis classifiers were used to process the EMG data for pattern recognition of the 11 motions. For the affected side, active anodal tDCS significantly reduced the average classification error rate (CER) by 10.1%, while sham tDCS had no such effect. For the intact side, the average CER did not change on the day of sham tDCS but increased on the day of active tDCS. These results demonstrated that tDCS could modulate brain function and improve EMG-based classification performance for amputees. It has great potential in dramatically reducing the length of learning process of amputees for effectively using myoelectrically controlled multifunctional prostheses.","1558-2531","","10.1109/TBME.2015.2407491","National Basic Research Program (973 Program) of China(grant numbers:2011CB013305); National Natural Science Foundation of China(grant numbers:51475292); Science and Technology Commission of Shanghai Municipality(grant numbers:11JC1406000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7050334","Electromyography (EMG);Myoelectric control;Pattern recognition;Transcranial direct current stimulation (tDCS);Transradial amputee;Electromyography (EMG);myoelectric control;pattern recognition;transcranial direct current stimulation (tDCS);transradial amputee","Analysis of variance;Electromyography;Silicon;Electrodes;Training;DC motors;Muscles","Adult;Aged;Amputees;Artificial Limbs;Equipment Design;Female;Forearm;Humans;Male;Man-Machine Systems;Middle Aged;Muscle, Skeletal;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Transcranial Direct Current Stimulation","34","","48","IEEE","26 Feb 2015","Aug. 2015","","IEEE","IEEE Journals"
"Identification of Contaminant Type in Surface Electromyography (EMG) Signals","P. McCool; G. D. Fraser; A. D. C. Chan; L. Petropoulakis; J. J. Soraghan","Centre for Excellence in Signal and Image Processing, University of Strathclyde, Glasgow, UK; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Centre for Excellence in Signal and Image Processing, University of Strathclyde, Glasgow, UK; Centre for Excellence in Signal and Image Processing, University of Strathclyde, Glasgow, UK",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"8 Jul 2014","2014","22","4","774","783","The ability to recognize various forms of contaminants in surface electromyography (EMG) signals and to ascertain the overall quality of such signals is important in many EMG-enabled rehabilitation systems. In this paper, new methods for the automatic identification of commonly occurring contaminant types in surface EMG signals are presented. Such methods are advantageous because the contaminant type is typically not known in advance. The presented approach uses support vector machines as the main classification system. Both simulated and real EMG signals are used to assess the performance of the methods. The contaminants considered include: 1) electrocardiogram interference; 2) motion artifact; 3) power line interference; 4) amplifier saturation; and 5) additive white Gaussian noise. Results show that the contaminants can readily be distinguished at lower signal to noise ratios, with a growing degree of confusion at higher signal to noise ratios, where their effects on signal quality are less significant.","1558-0210","","10.1109/TNSRE.2014.2299573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6718122","Biosignal quality analysis;classification;electromyography (EMG);myoelectric signals;prostheses","Electromyography;Signal to noise ratio;Electrocardiography;Interference;Muscles;Contamination;Support vector machines","Action Potentials;Algorithms;Artifacts;Data Interpretation, Statistical;Electromyography;Humans;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","75","","33","IEEE","21 Jan 2014","July 2014","","IEEE","IEEE Journals"
